,price_usd_t,source
2009-01-31,1809.80,EST_ALB
2009-02-28,1559.64,EST_ALB
2009-03-31,1782.08,EST_ALB
2009-04-30,2225.57,EST_ALB
2009-05-31,2349.53,EST_ALB
2009-06-30,2125.42,EST_ALB
2009-07-31,2493.85,EST_ALB
2009-08-31,2719.78,EST_ALB
2009-09-30,2944.80,EST_ALB
2009-10-31,2671.80,EST_ALB
2009-11-30,2867.80,EST_ALB
2009-12-31,3117.08,EST_ALB
2010-01-31,3057.77,EST_ALB
2010-02-28,3219.43,EST_ALB
2010-03-31,3705.02,EST_ALB
2010-04-30,3986.18,EST_ALB
2010-05-31,3744.84,EST_ALB
2010-06-30,3447.59,EST_ALB
2010-07-31,3810.33,EST_ALB
2010-08-31,3482.74,EST_ALB
2010-09-30,4122.84,EST_ALB
2010-10-31,4435.04,EST_ALB
2010-11-30,4809.19,EST_ALB
2010-12-31,4982.83,EST_ALB
2011-01-31,5019.00,EST_ALB
2011-02-28,5152.39,EST_ALB
2011-03-31,5380.61,EST_ALB
2011-04-30,6420.15,EST_ALB
2011-05-31,6448.27,EST_ALB
2011-06-30,6306.28,EST_ALB
2011-07-31,6052.25,EST_ALB
2011-08-31,4528.46,EST_ALB
2011-09-30,3568.68,EST_ALB
2011-10-31,4793.14,EST_ALB
2011-11-30,4912.04,EST_ALB
2011-12-31,4639.76,EST_ALB
2012-01-31,5877.23,EST_ALB
2012-02-29,6092.62,EST_ALB
2012-03-31,5859.17,EST_ALB
2012-04-30,5994.01,EST_ALB
2012-05-31,5545.27,EST_ALB
2012-06-30,5461.66,EST_ALB
2012-07-31,5323.24,EST_ALB
2012-08-31,4983.99,EST_ALB
2012-09-30,4803.40,EST_ALB
2012-10-31,5039.78,EST_ALB
2012-11-30,5496.92,EST_ALB
2012-12-31,5745.83,EST_ALB
2013-01-31,5666.06,EST_ALB
2013-02-28,6037.93,EST_ALB
2013-03-31,5808.13,EST_ALB
2013-04-30,5682.53,EST_ALB
2013-05-31,6244.55,EST_ALB
2013-06-30,5809.00,EST_ALB
2013-07-31,5781.19,EST_ALB
2013-08-31,5816.95,EST_ALB
2013-09-30,5897.12,EST_ALB
2013-10-31,6222.04,EST_ALB
2013-11-30,6474.69,EST_ALB
2013-12-31,5963.98,EST_ALB
2014-01-31,6043.19,EST_ALB
2014-02-28,6224.91,EST_ALB
2014-03-31,6296.27,EST_ALB
2014-04-30,6358.90,EST_ALB
2014-05-31,6576.36,EST_ALB
2014-06-30,6838.23,EST_ALB
2014-07-31,5808.15,EST_ALB
2014-08-31,6034.36,EST_ALB
2014-09-30,5587.66,EST_ALB
2014-10-31,5535.12,EST_ALB
2014-11-30,5601.81,EST_ALB
2014-12-31,5740.54,EST_ALB
2015-01-31,4541.68,EST_ALB
2015-02-28,5379.20,EST_ALB
2015-03-31,5031.23,EST_ALB
2015-04-30,5729.87,EST_ALB
2015-05-31,5775.90,EST_ALB
2015-06-30,5304.73,EST_ALB
2015-07-31,5195.40,EST_ALB
2015-08-31,4282.67,EST_ALB
2015-09-30,4201.64,EST_ALB
2015-10-31,5163.97,EST_ALB
2015-11-30,5168.08,EST_ALB
2015-12-31,5454.52,EST_ALB
2016-01-31,5105.61,EST_ALB
2016-02-29,5476.31,EST_ALB
2016-03-31,6313.26,EST_ALB
2016-04-30,6548.11,EST_ALB
2016-05-31,7856.65,EST_ALB
2016-06-30,7975.49,EST_ALB
2016-07-31,8497.14,EST_ALB
2016-08-31,8046.21,EST_ALB
2016-09-30,8675.55,EST_ALB
