date,li_smm_usd_t,ndpr_smm_usd_t,gfex_li_active,gfex_li_term_slope,gfex_li_oi,gfex_li_tightness
2023-06-26,43213.47,67282.61,,,,
2023-06-27,42708.55,66404.9,,,,
2023-06-28,42466.51,64562.91,,,,
2023-06-29,42269.03,62646.29,,,,
2023-06-30,42210.34,62559.29,,,,
2023-07-03,42210.34,62559.29,,,,
2023-07-04,42372.88,61664.6,,,,
2023-07-05,42507.6,61860.66,,,,
2023-07-06,42300.02,61558.57,,,,
2023-07-07,42326.22,61596.7,,,,
2023-07-10,42460.65,60756.7,,,,
2023-07-11,42445.99,59355.37,,,,
2023-07-12,42388.73,59704.39,,,,
2023-07-13,42398.84,61544.46,,,,
2023-07-14,42342.14,62431.99,,,,
2023-07-17,41930.04,63069.47,,,,
2023-07-18,41577.44,62713.8,,,,
2023-07-19,41077.45,62448.83,,,,
2023-07-20,40606.54,62535.45,,,,
2023-07-21,40045.05,63126.57,220700.0,-0.02809243316719534,8085.0,0.02809243316719534
2023-07-24,39652.23,64235.22,211150.0,-0.1539190149183045,13122.0,0.1539190149183045
2023-07-25,39471.31,65669.69,222050.0,-0.15627111011033556,15020.0,0.15627111011033556
2023-07-26,39385.47,65293.3,230900.0,-0.1522304027717627,14508.0,0.1522304027717627
2023-07-27,39143.18,64750.21,228050.0,-0.15150186362639773,15105.0,0.15150186362639773
2023-07-28,38766.16,64935.06,227450.0,-0.1409100901296988,14780.0,0.1409100901296988
2023-07-31,38724.53,65587.5,230600.0,-0.14353859496964438,15505.0,0.14353859496964438
2023-08-01,38252.13,65614.97,228450.0,-0.13591595535128032,15676.0,0.13591595535128032
2023-08-02,37391.75,65470.32,229000.0,-0.12838427947598252,15675.0,0.12838427947598252
2023-08-03,36897.81,65334.09,228250.0,-0.1253012048192771,16230.0,0.1253012048192771
2023-08-04,36559.89,65598.89,229700.0,-0.11754462342185457,16442.0,0.11754462342185457
2023-08-07,35639.35,65720.92,223450.0,-0.13269187737748933,18615.0,0.13269187737748933
2023-08-08,35084.8,65940.01,218300.0,-0.1282638570774164,20447.0,0.1282638570774164
2023-08-09,34415.08,65927.69,216800.0,-0.125,20194.0,0.125
2023-08-10,34162.26,65973.28,214400.0,-0.11543843283582089,23910.0,0.11543843283582089
2023-08-11,33714.7,65840.38,208300.0,-0.10513682189150264,25574.0,0.10513682189150264
2023-08-14,32978.99,65613.73,201550.0,-0.09377325725626395,31513.0,0.09377325725626395
2023-08-15,32154.78,65477.58,195350.0,-0.12004095213718968,35763.0,0.12004095213718968
2023-08-16,31483.99,65226.62,197350.0,-0.11350392703318979,34637.0,0.11350392703318979
2023-08-17,30962.5,65205.8,194500.0,-0.10359897172236499,37164.0,0.10359897172236499
2023-08-18,30803.77,66056.98,196300.0,-0.10799796230259806,34426.0,0.10799796230259806
2023-08-21,30786.91,67594.38,199900.0,-0.09754877438719356,32603.0,0.09754877438719356
2023-08-22,30820.65,68490.34,200250.0,-0.08614232209737827,32402.0,0.08614232209737827
2023-08-23,30776.39,67571.26,198450.0,-0.08717561098513482,33373.0,0.08717561098513482
2023-08-24,30841.77,67440.68,199950.0,-0.09202300575143785,32539.0,0.09202300575143785
2023-08-25,30555.06,67481.47,197250.0,-0.08897338403041821,35118.0,0.08897338403041821
2023-08-28,30135.75,68490.34,189700.0,-0.08618871903004743,40209.0,0.08618871903004743
2023-08-29,29360.23,68438.77,185200.0,-0.06074514038876888,41506.0,0.06074514038876888
2023-08-30,28844.31,68513.8,186350.0,-0.058760397102227024,42342.0,0.058760397102227024
2023-08-31,28472.48,68443.46,184450.0,-0.06072106261859578,42781.0,0.06072106261859578
2023-09-01,28238.5,68706.8,187950.0,-0.06544293695131687,42394.0,0.06544293695131687
2023-09-04,28207.49,70964.82,189800.0,-0.06849315068493156,42254.0,0.06849315068493156
2023-09-05,27845.22,71670.58,191000.0,-0.0709424083769633,42918.0,0.0709424083769633
2023-09-06,27389.59,71718.37,191100.0,-0.07718472004186294,44121.0,0.07718472004186294
2023-09-07,27130.57,71575.62,185700.0,-0.06946688206785134,47905.0,0.06946688206785134
2023-09-08,26814.57,71618.65,179150.0,-0.06670387943064471,55765.0,0.06670387943064471
2023-09-11,26328.65,72607.35,176800.0,-0.07607466063348411,58960.0,0.07607466063348411
2023-09-12,26132.88,73199.43,179550.0,-0.07797270955165692,62317.0,0.07797270955165692
2023-09-13,25834.5,71762.49,176850.0,-0.07548770144189987,64288.0,0.07548770144189987
2023-09-14,25847.41,71988.81,172000.0,-0.07441860465116279,72526.0,0.07441860465116279
2023-09-15,25408.17,71909.93,169100.0,-0.06652868125369604,74360.0,0.06652868125369604
2023-09-18,25081.21,71954.28,168950.0,-0.0719147676827464,78420.0,0.0719147676827464
2023-09-19,24629.53,71836.13,163100.0,-0.06407112201103615,89721.0,0.06407112201103615
2023-09-20,24128.5,71360.22,156000.0,-0.05288461538461542,98481.0,0.05288461538461542
2023-09-21,23701.21,71171.95,157050.0,-0.06717605858007003,95389.0,0.06717605858007003
2023-09-22,23479.95,71122.4,158250.0,-0.08278041074249609,96303.0,0.08278041074249609
