,price_usd_t,source
2010-10-31,136930.99646640645,EST_REMX
2010-11-30,133932.72376369507,EST_REMX
2010-12-31,151636.8141675242,EST_REMX
2011-01-31,148915.89070469423,EST_REMX
2011-02-28,154711.31700656144,EST_REMX
2011-03-31,161224.0064625536,EST_REMX
2011-04-30,166843.17722752108,EST_REMX
2011-05-31,165710.66599736287,EST_REMX
2011-06-30,159164.18621359766,EST_REMX
2011-07-31,155882.57551670747,EST_REMX
2011-08-31,142178.19660223275,EST_REMX
2011-09-30,112451.14426231435,EST_REMX
2011-10-31,126310.47656554666,EST_REMX
2011-11-30,122672.03643853404,EST_REMX
2011-12-31,114860.1801091245,EST_REMX
2012-01-31,128789.17301546504,EST_REMX
2012-02-29,126930.30839617175,EST_REMX
2012-03-31,126143.5875856782,EST_REMX
2012-04-30,121321.13696957284,EST_REMX
2012-05-31,107363.48271872295,EST_REMX
2012-06-30,108480.25972351023,EST_REMX
2012-07-31,103490.10588945693,EST_REMX
2012-08-31,101142.45486490437,EST_REMX
2012-09-30,104789.04787454789,EST_REMX
2012-10-31,103272.82999363115,EST_REMX
2012-11-30,102237.6765535502,EST_REMX
2012-12-31,106846.49708473096,EST_REMX
2013-01-31,105646.58771853287,EST_REMX
2013-02-28,100889.80647995467,EST_REMX
2013-03-31,94927.44338222583,EST_REMX
2013-04-30,91788.41656241765,EST_REMX
2013-05-31,94118.59267014824,EST_REMX
2013-06-30,85830.34162346896,EST_REMX
2013-07-31,87848.40046132485,EST_REMX
2013-08-31,87683.60367278586,EST_REMX
2013-09-30,91641.81887100483,EST_REMX
2013-10-31,88893.56248730114,EST_REMX
2013-11-30,85344.95089684242,EST_REMX
2013-12-31,82614.81386083711,EST_REMX
2014-01-31,81388.01666171021,EST_REMX
2014-02-28,83217.14858831275,EST_REMX
2014-03-31,82150.00590455775,EST_REMX
2014-04-30,83663.64621224647,EST_REMX
2014-05-31,80638.14892630871,EST_REMX
2014-06-30,82056.87515105745,EST_REMX
2014-07-31,83786.61446871868,EST_REMX
2014-08-31,81497.08369188473,EST_REMX
2014-09-30,73398.09317137621,EST_REMX
2014-10-31,68833.57174279213,EST_REMX
2014-11-30,67147.47963659427,EST_REMX
2014-12-31,65989.8432662702,EST_REMX
2015-01-31,63491.93419088886,EST_REMX
2015-02-28,68044.982495326,EST_REMX
2015-03-31,65708.76008515677,EST_REMX
2015-04-30,69984.76326616011,EST_REMX
2015-05-31,67525.41900721563,EST_REMX
2015-06-30,60761.97270328914,EST_REMX
2015-07-31,55416.89966893623,EST_REMX
2015-08-31,51305.1268647691,EST_REMX
2015-09-30,46378.86658618789,EST_REMX
2015-10-31,48811.54296630277,EST_REMX
2015-11-30,47417.15942286034,EST_REMX
2015-12-31,44760.75565152627,EST_REMX
2016-01-31,41038.63386680547,EST_REMX
2016-02-29,44154.998879077764,EST_REMX
2016-03-31,47449.343259284185,EST_REMX
2016-04-30,50634.57090154866,EST_REMX
2016-05-31,50991.66198115718,EST_REMX
2016-06-30,51556.30717950424,EST_REMX
2016-07-31,53026.80218011341,EST_REMX
2016-08-31,52387.260921023386,EST_REMX
2016-09-30,50739.720646797934,EST_REMX
2016-10-31,50487.16499617303,EST_REMX
2016-11-30,53519.344110986065,EST_REMX
2016-12-31,53274.72780084518,EST_REMX
2017-01-31,57433.95283369468,EST_REMX
2017-02-28,58300.123334438504,EST_REMX
2017-03-31,55146.920384968704,EST_REMX
